raw,cluster_id,n
code review,1,1
gtd,8,1
writing successful grant proposals,2,1
simulaton based inference,6,1
better / more efficient management skills,7,1
technical writing,2,1
llm,8,1
security pentesting,0,1
coordinating teams of rses,0,1
enterprise architecture,9,1
more effective usage of ci/cd pipelines to avoid repetitive manual work,2,1
skripting mit bash und/oder python,3,1
using llms and agents (ideally local,3,1
e.g.,8,1
via llama.cpp) for software development,3,1
