token,category_llm,category_human,cluster_id,n,exclude
leveraging cloud resources,Coding And Development,Coding And Development,1,1,0
low-level programming in c/c++,Coding And Development,Coding And Development,1,1,0
machine learning,Coding And Development,Coding And Development,1,2,0
multi cpu,Coding And Development,Coding And Development,1,1,0
newest c++ features,Coding And Development,Coding And Development,1,1,0
object oriented programming,Coding And Development,Coding And Development,1,1,0
optimization,Coding And Development,Coding And Development,1,1,0
packaging,Coding And Development,Coding And Development,1,1,0
parallel programming,Coding And Development,Coding And Development,1,1,0
parallelisation of numerics,Coding And Development,Coding And Development,1,1,0
parallized hardware,Coding And Development,Coding And Development,1,1,0
partner(s) for code reviews,Coding And Development,Coding And Development,1,1,0
producing an efficient code,Coding And Development,Coding And Development,1,1,0
profiling and performance optimisation,Coding And Development,Coding And Development,1,1,0
program optimization,Coding And Development,Coding And Development,1,1,0
python,Coding And Development,Coding And Development,1,2,0
refactoring techniques,Coding And Development,Coding And Development,1,1,0
refactoring),Coding And Development,Coding And Development,1,1,0
reusable patterns,Coding And Development,Coding And Development,1,1,0
runtime optimization,Coding And Development,Coding And Development,1,1,0
signal processing),Coding And Development,Coding And Development,1,1,0
system-engineering,Coding And Development,Coding And Development,1,1,0
typescript,Coding And Development,Coding And Development,1,1,0
ui/ux design,Coding And Development,Coding And Development,1,1,0
version control,Coding And Development,Coding And Development,1,1,0
ai,Development Tools And Technologies,Development Tools And Technologies,8,1,0
ai and ml,Development Tools And Technologies,Development Tools And Technologies,8,1,0
angular,Development Tools And Technologies,Development Tools And Technologies,8,1,0
aws,Development Tools And Technologies,Development Tools And Technologies,8,1,0
but with human oversight),Development Tools And Technologies,Development Tools And Technologies,8,1,0
cuda,Development Tools And Technologies,Development Tools And Technologies,8,1,0
devops,Development Tools And Technologies,Development Tools And Technologies,8,3,0
e.g.,Development Tools And Technologies,Development Tools And Technologies,8,1,0
gtd,Development Tools And Technologies,Development Tools And Technologies,8,1,0
ides,Development Tools And Technologies,Development Tools And Technologies,8,1,0
java,Development Tools And Technologies,Development Tools And Technologies,8,1,0
kubernetes,Development Tools And Technologies,Development Tools And Technologies,8,1,0
llm,Development Tools And Technologies,Development Tools And Technologies,8,1,0
rust,Development Tools And Technologies,Development Tools And Technologies,8,6,0
scrum/agile,Development Tools And Technologies,Development Tools And Technologies,8,1,0
slurm,Development Tools And Technologies,Development Tools And Technologies,8,1,0
stan,Development Tools And Technologies,Development Tools And Technologies,8,1,0
wasm,Development Tools And Technologies,Development Tools And Technologies,8,1,0
agile management,Project Management,Project Management,7,1,0
better / more efficient management skills,Project Management,Project Management,7,1,0
better project management,Project Management,Project Management,7,1,0
expectation management,Project Management,Project Management,7,1,0
formal use of project managment software,Project Management,Project Management,7,1,0
hackathon management,Project Management,Project Management,7,1,0
how to sell infrastructure work,Project Management,Project Management,7,1,0
learn how to properly organize of bigger projects,Project Management,Project Management,7,1,0
management,Project Management,Project Management,7,2,0
management for training purposes,Project Management,Project Management,7,1,0
methodology for agile multiproject management,Project Management,Project Management,7,1,0
process modeling and mining,Project Management,Project Management,7,1,0
project and time management,Project Management,Project Management,7,1,0
project management,Project Management,Project Management,7,15,0
project managing,Project Management,Project Management,7,1,0
project organisation,Project Management,Project Management,7,1,0
proper db management,Project Management,Project Management,7,1,0
stakeholder management / communication,Project Management,Project Management,7,1,0
system administration,Project Management,Project Management,7,1,0
task management,Project Management,Project Management,7,1,0
time management,Project Management,Project Management,7,4,0
user management and interaction:,Project Management,Project Management,7,1,0
workflow management skills,Project Management,Project Management,7,1,0
workflow management tools like snakemake,Project Management,Project Management,7,1,0
devops engineer,Requirements Engineering,Requirements Engineering,4,1,0
requirement engineering,Requirements Engineering,Requirements Engineering,4,2,0
requirement engineering methology,Requirements Engineering,Requirements Engineering,4,1,0
requirements elicitation in research projects,Requirements Engineering,Requirements Engineering,4,1,0
requirements engineering,Requirements Engineering,Requirements Engineering,4,3,0
agile methoden,Research Software Management,Research Software Management,0,1,0
coordinating teams of rses,Research Software Management,Research Software Management,0,1,0
effectively testing research software to avoid that bugs that appear only on specific systems,Research Software Management,Research Software Management,0,1,0
effektive dokumentation,Research Software Management,Research Software Management,0,1,0
efficiently managing research software projects,Research Software Management,Research Software Management,0,1,0
formale methoden,Research Software Management,Research Software Management,0,1,0
funding rse projects,Research Software Management,Research Software Management,0,1,0
intermediate rse (refactoring,Research Software Management,Research Software Management,0,1,0
kollaborations-modelle,Research Software Management,Research Software Management,0,1,0
object-oriented scientific software design,Research Software Management,Research Software Management,0,1,0
prioritisation of tasks for most impact of research software,Research Software Management,Research Software Management,0,1,0
projektmanagement,Research Software Management,Research Software Management,0,3,0
research skills required,Research Software Management,Research Software Management,0,1,0
research software dissemination,Research Software Management,Research Software Management,0,1,0
research software maintenance,Research Software Management,Research Software Management,0,1,0
research software management,Research Software Management,Research Software Management,0,1,0
ressourcenmanagement,Research Software Management,Research Software Management,0,1,0
security pentesting,Research Software Management,Research Software Management,0,1,0
softwareprojektmanagement,Research Software Management,Research Software Management,0,1,0
team- und communitybuilding,Research Software Management,Research Software Management,0,1,0
ux/ui research,Research Software Management,Research Software Management,0,1,0
adopting the recent trends of ai from industry for improving productivity/ development activity,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
ai in rse proficiency (we all stumble along as best as we can here),Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
airworthiness certification,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
closer contact to scientists and scientific methods,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
collaborating,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
collaboration tools,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
communication,Soft Skills And Collaboration,Soft Skills And Collaboration,2,2,0
"communication (why and how ""my"" software improves others work experience)",Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
communication/pedagogy,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
community building,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
community building 101,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
community organizing,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
contract negotiations,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
cran compliance,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
dealing with legacy code produced by untrained researchers and fast changing requirements while ensuring overall quality and maintainability,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
didactic skills,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
documentation,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
documentation generation,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
documenting,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
especiially optics and all phenomenoms relating to electron magnetism. also other aspects of physics that are relevant to undersand everthing around synchrotrons are of intereset.,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
grant writing,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
i would love to extend my knowledge about physics,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
improve on understanding ci/cd - had to self teach this skill and there are still gaps present,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
improving institutional-level appreciation of rse work,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
leader skills,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
leadership,Soft Skills And Collaboration,Soft Skills And Collaboration,2,4,0
learn object orientation?,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
legal aspects,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
legal knowledge,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
marketing,Soft Skills And Collaboration,Soft Skills And Collaboration,2,2,0
more effective usage of ci/cd pipelines to avoid repetitive manual work,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
more knowledge in performance optimization and in the hpc world (vectorization,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
multi gpu). i would love to work together with senios and to be taught by them.,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
negotiation,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
networking,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
participatory (co-production) approaches to rs development,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
people management (communicating what is needed for research and to what depth),Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
presentation skills - with specific focus on how things are presented within software related journals and conferences,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
project,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
statistical learning,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
team leadership,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
technical writing,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
to gain experience,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
writing successful grant proposals,Soft Skills And Collaboration,Soft Skills And Collaboration,2,1,0
a more consistent way of working with git branches,Software Architecture And Design,Software Architecture And Design,9,1,0
a more formal approach to distributed software design,Software Architecture And Design,Software Architecture And Design,9,1,0
a more formal approach to relational database design and administration,Software Architecture And Design,Software Architecture And Design,9,1,0
adjust chair for comfortable sitting,Software Architecture And Design,Software Architecture And Design,9,1,0
architecture documentation,Software Architecture And Design,Software Architecture And Design,9,1,0
deepen the general knowledge on broader software architecture,Software Architecture And Design,Software Architecture And Design,9,1,0
deeper knowledge of performance optimizations,Software Architecture And Design,Software Architecture And Design,9,1,0
design of software architecture for numerical software library and packages,Software Architecture And Design,Software Architecture And Design,9,1,0
enterprise architecture,Software Architecture And Design,Software Architecture And Design,9,1,0
formal development methodologies,Software Architecture And Design,Software Architecture And Design,9,1,0
improve knowledge about system architecture,Software Architecture And Design,Software Architecture And Design,9,1,0
know how to free time slots to work practical,Software Architecture And Design,Software Architecture And Design,9,1,0
operating systems design,Software Architecture And Design,Software Architecture And Design,9,1,0
software achitecture patterns,Software Architecture And Design,Software Architecture And Design,9,1,0
software architecture,Software Architecture And Design,Software Architecture And Design,9,9,0
software architecture design,Software Architecture And Design,Software Architecture And Design,9,1,0
software design and architecture,Software Architecture And Design,Software Architecture And Design,9,1,0
software design patterns,Software Architecture And Design,Software Architecture And Design,9,1,0
software development best practices,Software Architecture And Design,Software Architecture And Design,9,1,0
software engineering skills,Software Architecture And Design,Software Architecture And Design,9,1,0
stronger foundation in mathematics (linear algebra,Software Architecture And Design,Software Architecture And Design,9,1,0
structured way of improving my coding knowledge,Software Architecture And Design,Software Architecture And Design,9,1,0
user experience design,Software Architecture And Design,Software Architecture And Design,9,1,0
using development methodologies in academic environment,Software Architecture And Design,Software Architecture And Design,9,1,0
advanced testing methods,Software Testing,Software Testing,6,1,0
automatic testing,Software Testing,Software Testing,6,1,0
automatisiertes testen,Software Testing,Software Testing,6,1,0
continuous integration and testing,Software Testing,Software Testing,6,1,0
formal software testing,Software Testing,Software Testing,6,1,0
formal testing,Software Testing,Software Testing,6,1,0
formale begriffe des softwaretestings,Software Testing,Software Testing,6,1,0
gute tests,Software Testing,Software Testing,6,1,0
simulaton based inference,Software Testing,Software Testing,6,1,0
software testing,Software Testing,Software Testing,6,1,0
system and integration testing strategies),Software Testing,Software Testing,6,1,0
systematischeres testen,Software Testing,Software Testing,6,1,0
test-driven development,Software Testing,Software Testing,6,1,0
testing,Software Testing,Software Testing,6,5,0
testing strategies for complex systems (mocking and ui testing,Software Testing,Software Testing,6,1,0
understand how to really write tests,Software Testing,Software Testing,6,1,0
unit testing,Software Testing,Software Testing,6,2,0
asking the right questions,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
better / more efficient communicaton skills,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
choosing the right pattern the first time around,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
create more effective learning content,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
expanding to other languages,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
how to teach effectively?,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
remembering people's name,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
sell yourself better,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
teaching/training,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
to be a better teacher,Teaching And Communication Skills,Teaching And Communication Skills,10,1,0
