raw,cluster_id,category
proper understanding of problem,3,Software Development Skills
requirement analysis,9,Domain Knowledge
basic understanding of research field the software is made for,3,Software Development Skills
data management,3,Software Development Skills
formulation de requêtes,7,AI Ethics and Critical Thinking
vertiefte programmierkenntnisse,7,AI Ethics and Critical Thinking
moral sense,3,Software Development Skills
work organization,3,Software Development Skills
work ethics,3,Software Development Skills
ai-literacy,4,AI Literacy
practice,4,AI Literacy
critical thinking. not everything that generative ai spits out makes sense. some knowledge of the work is needed to determine if the result is viable or not. personally not a fan of generative ai and avoid using it as much as i can.,4,AI Literacy
konzeptionelles verständnis von diversen techniken und tools,0,Prompt Engineering
die einem die ki ausspuckt,0,Prompt Engineering
um bewerten zu können,7,AI Ethics and Critical Thinking
was gut ist und was nicht. das zusammenfassen und kürzen exzessiver,0,Prompt Engineering
wortreicher ki-ausgaben bevor man diese an kolleg:innen weitergibt oder seiner dokumentation hinzufügt.,0,Prompt Engineering
be aware that ai is not smart,6,AI Oversight Skills
is not able to think for you,6,AI Oversight Skills
and must not be used to directly generate critical parts of software or documents,6,AI Oversight Skills
testing testing testing!,5,Testing Skills
sich mit der inhärenten unzuverlässigkeit von sprachmodellen kritisch auseinanderzusetzen und einzusehen,0,Prompt Engineering
dass sie zur code-generierung untauglich sind.,0,Prompt Engineering
general knowledge of common problems in code/scripts,3,Software Development Skills
being able to write clear requirements,3,Software Development Skills
computational thinking,7,AI Ethics and Critical Thinking
understanding of testing,5,Testing Skills
at least as good knowledge of coding as the ai,3,Software Development Skills
have a good understanding of the task that is asked to the llm so you understand when it gets off track,2,Software Engineering Skills
comprehensive understanding of everything ai produced; multi-language experience; review and text creation experience,2,Software Engineering Skills
knowledge of design patterns,2,Software Engineering Skills
strong quality assurance,5,Testing Skills
be aware of newest features in the ai community,6,AI Oversight Skills
understanding how to test prototype code,1,Code Review
understanding of at least one programming language in depth,3,Software Development Skills
actual software engineering skills,2,Software Engineering Skills
generative ais are good for prototyping fast,6,AI Oversight Skills
but they cannot every understand the context of where the software will be used,6,AI Oversight Skills
this requires careful design through software development/engineering designs.,2,Software Engineering Skills
quick reading,4,AI Literacy
critical sense,7,AI Ethics and Critical Thinking
notion of basic security caveats,9,Domain Knowledge
knowledge about hpc,9,Domain Knowledge
knowledge about cloud platforms,9,Domain Knowledge
mastering version control system,2,Software Engineering Skills
remembering that they are a tool not a black box solution - 'human in the loop' (https://www.phoronix.com/news/llvm-human-in-the-loop),2,Software Engineering Skills
reading/writing,7,AI Ethics and Critical Thinking
time management,3,Software Development Skills
data privacy,3,Software Development Skills
resilience against hypes,4,AI Literacy
how to review of ai generated code,1,Code Review
which models to use and when and why (i.e how to choose).,6,AI Oversight Skills
understanding the objectives of the development.,3,Software Development Skills
understanding the context and the domain the code will be used for. in software engineering,2,Software Engineering Skills
there is no one-size-fits-all (my honest opinion),6,AI Oversight Skills
knowledge about the prompted subject,0,Prompt Engineering
brainstorming techniques,7,AI Ethics and Critical Thinking
experience in software engineering to steer ai agents and to check results.,2,Software Engineering Skills
je,7,AI Ethics and Critical Thinking
ne,7,AI Ethics and Critical Thinking
sais,7,AI Ethics and Critical Thinking
pas,7,AI Ethics and Critical Thinking
trial and error,4,AI Literacy
need to already be an expert with a clear idea and understanding how it should be done. also very high ability to clearly and consisely formulate problems and tasks,4,AI Literacy
good experience in software development,3,Software Development Skills
core knowledge of the language in question and design thinking. i increasingly have to spend my time fixing up code that researchers develop rapidly using genai,4,AI Literacy
where the researchers can't explain the design,6,AI Oversight Skills
which makes it very difficult to reason about,6,AI Oversight Skills
extend,4,AI Literacy
debug,4,AI Literacy
generative ai isn't useful or necessary,6,AI Oversight Skills
this is an inappropriately leading question.,6,AI Oversight Skills
top level technical skills to critically integrate and review the code provided by the ai,2,Software Engineering Skills
knowing when to step in yourself,3,Software Development Skills
"just basically being a responsible senior for the ai ""junior""",6,AI Oversight Skills
openness to new technologies,9,Domain Knowledge
willingness to experiment,4,AI Literacy
basic understanding of code,1,Code Review
basic understanding of prompting,0,Prompt Engineering
basic understanding of research,9,Domain Knowledge
(read fast,4,AI Literacy
get to the point,4,AI Literacy
don't be afraid of the tool and see through the fluff),6,AI Oversight Skills
generating technical documentation,9,Domain Knowledge
experience and knowledge in language your asking it to code in,3,Software Development Skills
as well as the applications it's developing a program for.,2,Software Engineering Skills
understanding the basics of gen ai,9,Domain Knowledge
using it only as a basis always recheck the generated output and refine manually,6,AI Oversight Skills
crittically questioning the output of ai,6,AI Oversight Skills
actually still understanding the code,1,Code Review
and being able to reason with it,6,AI Oversight Skills
basic dev skills,9,Domain Knowledge
thinking for one self instead of searching for easy generated answered,6,AI Oversight Skills
knowing the coding language,1,Code Review
knowing how to run a code and debug it,1,Code Review
knowing the expected results or at least have standard tests,6,AI Oversight Skills
like git you need to first be able to do it yourself. you need to be skilled in problem solving scouring slack finding solutions and you need to understand clean code concepts and things like object oriented programming or functional etc. best practices.,4,AI Literacy
self scepticism,8,Skepticism
it skills must already exist in order to understand code quality,3,Software Development Skills
which ai does. i would never just adopt the code as it is. architecture in particular is not good per se.,6,AI Oversight Skills
being thorough and sceptical to accept any answer,8,Skepticism
detect on time the hallucination of ai,6,AI Oversight Skills
ability to evaluate output of llms,6,AI Oversight Skills
which,4,AI Literacy
ironically,4,AI Literacy
reduces to being basically equivalent to my entire skillset,6,AI Oversight Skills
coding and understanding what ai has done.,3,Software Development Skills
understanding of limitations / error modes of underlying models. experience of using models within their wider operational frameworks in real development or writing workflows.,2,Software Engineering Skills
scientific rigour,4,AI Literacy
carefulness,3,Software Development Skills
right incentives for quality,9,Domain Knowledge
not quantity,4,AI Literacy
ability to set up integrative workflow,3,Software Development Skills
knowledge of software engineering,2,Software Engineering Skills
ability to write and test software rigorously,3,Software Development Skills
understanding of its limitations,9,Domain Knowledge
coding ability to understand what it produces,3,Software Development Skills
you need to already be a good well rounded developer,3,Software Development Skills
quality control,3,Software Development Skills
software desifn,2,Software Engineering Skills
fundamental knowledge about generative ai and its limitation,9,Domain Knowledge
when to use,4,AI Literacy
when to not use,6,AI Oversight Skills
how to prompt well,0,Prompt Engineering
how to verify code,1,Code Review
knowledge of the models limits,9,Domain Knowledge
ability to withstand and enjoy a lot more code review!,1,Code Review
logic,4,AI Literacy
analytics,3,Software Development Skills
i have found using genai for anything beyond simple tasks frustrating and counter productive. the tool need to get better before i would use them continuously,4,AI Literacy
critical thinking and understanding of the code,7,AI Ethics and Critical Thinking
die fähigkeiten sind die selben wie für das effiziente entwickeln von software generell. man braucht vor allem ein solides verständnis im requirements engineering und muss diese vermitteln können (egal ob einem bot,0,Prompt Engineering
einem mitarbeiter oder sich für sich selbst zur strukturierung der entwicklung).,0,Prompt Engineering
knowledge of ai tools,9,Domain Knowledge
how to use/prompt ai tools efficiently,0,Prompt Engineering
how to use ai-generated results efficiently and safely,6,AI Oversight Skills
quality assurance,5,Testing Skills
verification.,5,Testing Skills
code safety structures,1,Code Review
computer architecture,2,Software Engineering Skills
operating systems,2,Software Engineering Skills
prompt craftsmanship,0,Prompt Engineering
communication skills,3,Software Development Skills
there is no way to use generative ai effectively because it is a bluff machine,6,AI Oversight Skills
knowledge of programming fundamentals,3,Software Development Skills
knowledge of general code architecture,2,Software Engineering Skills
reading skills,7,AI Ethics and Critical Thinking
critical thinking skills,7,AI Ethics and Critical Thinking
nowadays,4,AI Literacy
using cli agents in a daily basis,9,Domain Knowledge
for me,4,AI Literacy
the most important skill is to know business rules and scientific concepts behind the architecture you are working to achieve. it is more important to understand concepts than technical details.,2,Software Engineering Skills
actual development skills and classic se training. ai should be used as a tool,2,Software Engineering Skills
not as a whole independent developer.,6,AI Oversight Skills
good software development practices,2,Software Engineering Skills
technical background,9,Domain Knowledge
be critical,7,AI Ethics and Critical Thinking
write good prompts,0,Prompt Engineering
programming & development expertise,3,Software Development Skills
analysis expertise,9,Domain Knowledge
prompt-engineering,0,Prompt Engineering
privacy and security expertise,3,Software Development Skills
risk assessment,3,Software Development Skills
broad knowledge of relevant principles to assess llm output quality,6,AI Oversight Skills
kritisches hinterfragen,7,AI Ethics and Critical Thinking
belohnungsaufschub und bereitschaft zu lernen obwohl 'die antwort' schon da ist (delayed gratification).,0,Prompt Engineering
being able to reproduce ai-results,6,AI Oversight Skills
being able to test ai-results,5,Testing Skills
familiarity with domain and technology,9,Domain Knowledge
writing tests to constrain generated code to correct behavior,1,Code Review
code reviewing the generated code,1,Code Review
attention to detail.,3,Software Development Skills
research skills,4,AI Literacy
logical reasoning (prompting),0,Prompt Engineering
rigorous assessment (assessing generated solutions),6,AI Oversight Skills
diligent testing,5,Testing Skills
software engineering professional practices,2,Software Engineering Skills
particularly devops/automated testing/tdd/bdd. spec based development looks interesting too.,4,AI Literacy
sehr gute programmierkenntnisse,0,Prompt Engineering
same as normal rs work,4,AI Literacy
prompt engineering and code review / testing,0,Prompt Engineering
to know when to use it and when not to,6,AI Oversight Skills
good prompt engineering,0,Prompt Engineering
how to phrase queries to get the answer you are looking for immediately,0,Prompt Engineering
clear problem definition and cautious use of tools (to avoid hallucinations),6,AI Oversight Skills
writing good prompts,0,Prompt Engineering
identifying useless responses,6,AI Oversight Skills
code refactoring skills,1,Code Review
development without generative ai for a while.,6,AI Oversight Skills
generative ai is useless and even actively detrimental to research software development.,4,AI Literacy
same as now,4,AI Literacy
ability to detect bullshit,3,Software Development Skills
you can only produce quality code using generative ai if you know what quality code looks like. generated code in my experience is often of bad quality upon closer scrutiny. that is not to say that the tools themselves aren't useful,4,AI Literacy
but they don't take away the skills that a research software developer currently must have.,2,Software Engineering Skills
i hate generative ai with a passion,6,AI Oversight Skills
it is a deeply destructive and immoral technology,6,AI Oversight Skills
and i will do what i can to keep as far away from it as possible.,6,AI Oversight Skills
to know how to code in the first place,3,Software Development Skills
you still need coding skills yourself to determine whether or not the ai actually produces something meaningful,2,Software Engineering Skills
conocimiento (aunque sea básico) del lenguaje/sistema relacionado con las preguntas,2,Software Engineering Skills
knowing how to do the job without genai,6,AI Oversight Skills
verständnis des softwareprojekts,0,Prompt Engineering
you already need to know what you are doing,6,AI Oversight Skills
ability to break a problem down into smaller problems,6,AI Oversight Skills
solid algorithmic idea of what one wants to do,6,AI Oversight Skills
reasonable grasp of the programming language (to use it safely),3,Software Development Skills
understanding the scope of the software. communicate to the ai what the users need. understand the needs of the users and how they would like to benefit from the sofware.,2,Software Engineering Skills
ai competencies,4,AI Literacy
tieferes verständnis des gesamtcodes,0,Prompt Engineering
um im prompt alle notwendigen bedingungen exakt definieren zu können und dann den generierten code hinsichtlich der wechselwirkung mit anderen teilen einschätzen zu können,0,Prompt Engineering
all the ones that make a good software engineer,3,Software Development Skills
sceptisism,8,Skepticism
targeted use,4,AI Literacy
understanding concepts of ai/llms and understanding the concepts of the technology/platformthe ai creates suggestions/solutions for,2,Software Engineering Skills
critical thinking (as ever),7,AI Ethics and Critical Thinking
if i only knew,4,AI Literacy
a general understanding of the programming and not blind copy + execution of the code,3,Software Development Skills
erfahrung,7,AI Ethics and Critical Thinking
kritisches denken,7,AI Ethics and Critical Thinking
learn to code.,1,Code Review
documenting,3,Software Development Skills
luck,4,AI Literacy
descriptive,4,AI Literacy
critical,7,AI Ethics and Critical Thinking
fachwissen,7,AI Ethics and Critical Thinking
coding competence,1,Code Review
critical thinking/judgement,7,AI Ethics and Critical Thinking
proper human testing,5,Testing Skills
knowing how to protect source from genai slop,6,AI Oversight Skills
verifikation und verständnis des generierten codes,0,Prompt Engineering
clear prompting,0,Prompt Engineering
buena base en ciencia de la computación/ criterio para diferenciar lo que es útil de lo que no,0,Prompt Engineering
fundamental understanding of computational thinking and design,3,Software Development Skills
savoir déjà coder!,7,AI Ethics and Critical Thinking
be very aware of the things that get generated and double-check everything and test rigorously.,2,Software Engineering Skills
ingeniería prompt,7,AI Ethics and Critical Thinking
be an experienced software engineer,2,Software Engineering Skills
know what you're doing even without the ai,6,AI Oversight Skills
be able to thoroughly review the probably crappy but very plausible ai output,6,AI Oversight Skills
be able to treat ai like a very junior dev,6,AI Oversight Skills
code comprehension and validation,1,Code Review
holistic understanding of the software project,3,Software Development Skills
project scope awareness,3,Software Development Skills
experience with generative ai tools and their failure modes,6,AI Oversight Skills
ai is currently very useful to create algorithms,6,AI Oversight Skills
datastructures and boilerplate code. it becomes more important to be vigilant for misconceptions that the ai makes,2,Software Engineering Skills
taking more of a orchestrative approach. that said,6,AI Oversight Skills
until ai can take over coding completely,1,Code Review
we must not outsource all coding tasks to ai,6,AI Oversight Skills
because the formalism of code helps us programmers to take important decisions and discover misconceptions. generally the job shifts to doing more design work and less coding. i use github copilot to write boilerplate code quickly and use chat to do reaearch on new areas and discuss ideas.,4,AI Literacy
knowing its limitations,9,Domain Knowledge
careful understanding of where this can be helpful,6,AI Oversight Skills
where it is excessive and unnecessary or even dangerous,6,AI Oversight Skills
eigene kenntnis und urteilsfähigkeit,0,Prompt Engineering
strategic thinking,7,AI Ethics and Critical Thinking
how to ensure you are solving the problem you want to solve,6,AI Oversight Skills
a cirtical mind; good books or teachers in software architecture and software patterns; good books on robust software,2,Software Engineering Skills
critical evaluation,7,AI Ethics and Critical Thinking
digital sovereignty,3,Software Development Skills
i am not sure,4,AI Literacy
low-level understanding of computer architecture,2,Software Engineering Skills
proper specification and testing,5,Testing Skills
underlying understanding of the code,3,Software Development Skills
the skill of deluding yourself that the genai is saving you time and/or effort,6,AI Oversight Skills
programming experience to evaluate the results,3,Software Development Skills
ability to effectively evaluate correctness and quality of generative ai outputs. effective interaction models for most effectively steering / specifying what you want the model to do.,4,AI Literacy
good examples that shows possibilities and limitations. a careful attitude.,2,Software Engineering Skills
qa and testing,5,Testing Skills
no over-reliance,4,AI Literacy
having time to do things properly,6,AI Oversight Skills
research skills like investigating different solutions and weighing pros and cons,6,AI Oversight Skills
understanding of llm capabilities,9,Domain Knowledge
judgment,4,AI Literacy
willingness to sacrifice using the hard earned skills that have already been learnt which will in turn atrophy.,4,AI Literacy
general language knowledge,9,Domain Knowledge
general computer science knowledge,9,Domain Knowledge
most/all software engineering skills,2,Software Engineering Skills
critical thinking and reviewing! basic technical knowlegde about concepts and structures in software!,2,Software Engineering Skills
understanding of code ai writes,1,Code Review
understanding how ai works,9,Domain Knowledge
workflows that mitigate slop (e.g. manual review),6,AI Oversight Skills
choosing energy-cheap models,9,Domain Knowledge
knowing what tasks to delegate,9,Domain Knowledge
one needs to know how to at least read code to effectively use ai tools.,2,Software Engineering Skills
good engineering skill,9,Domain Knowledge
durchblick,7,AI Ethics and Critical Thinking
ambition,4,AI Literacy
verständnis,7,AI Ethics and Critical Thinking
programmieren,7,AI Ethics and Critical Thinking
explaining well all important details,9,Domain Knowledge
knowing how to configure with ai agents,9,Domain Knowledge
keeping in mind privacy considerations,3,Software Development Skills
prompting skills,0,Prompt Engineering
understanding limitations,9,Domain Knowledge
coding skills,1,Code Review
reproducibilidad,7,AI Ethics and Critical Thinking
understanding of easy to maintain code,3,Software Development Skills
understanding of modular code design,1,Code Review
ability to breakdown and understand complex projects,3,Software Development Skills
critical thinking and problem solving,7,AI Ethics and Critical Thinking
fairly strong programming background,3,Software Development Skills
familiarity with common software terminology and trends,3,Software Development Skills
programming experience,1,Code Review
ability to read and review code,1,Code Review
understanding prompting,0,Prompt Engineering
understanding agentic coding,1,Code Review
ability to assess code quality,1,Code Review
integrity,3,Software Development Skills
diligence,4,AI Literacy
strong sense for detecting errors in generated code,3,Software Development Skills
own expertise in software development,2,Software Engineering Skills
limitations of said tools,9,Domain Knowledge
critical examination of the results,7,AI Ethics and Critical Thinking
design thinking,7,AI Ethics and Critical Thinking
architectural thinking,2,Software Engineering Skills
one needs to understand what ai does and where it is going to struggle (and what it doesn't do). where it struggles it can introduce errors but dress them up very convincingly.,2,Software Engineering Skills
das wichtigste ist zu wissen wann man die ki nicht einsetzt.,0,Prompt Engineering
software engineering (skilled/advanced),2,Software Engineering Skills
programming (skilled/advanced),1,Code Review
you have to be able to understand the code it generates and therefore be able to write it yourself. only if you still understand your code it is an actual productivity increase. better might be to not use ai to generate code but to ask how a problem could be solved and discuss as form of rubber ducky debugging,4,AI Literacy
knowledge of connected services,9,Domain Knowledge
technical & organisational constraints,9,Domain Knowledge
domain knowledge; ai needs to be guided for basicially everything except for code generation,2,Software Engineering Skills
programming experience to find flaws in the ai's output,6,AI Oversight Skills
understanding for architectures,2,Software Engineering Skills
appreciation of (automated) code testing,1,Code Review
understanding what is right and what is wrong,6,AI Oversight Skills
handle bad code from non programming people,1,Code Review
handle backslash if people understand the limits of ai and starting to avoid it,6,AI Oversight Skills
analysis,4,AI Literacy
creative thinking,7,AI Ethics and Critical Thinking
ai prompting and usage skills,0,Prompt Engineering
fundamental software engineering knowledge,2,Software Engineering Skills
offenheit gegenüber ki,7,AI Ethics and Critical Thinking
zugriff auf qualitativ hochwertige llms,0,Prompt Engineering
clean code,1,Code Review
good judgement,4,AI Literacy
technical prowess,4,AI Literacy
avoid it.,6,AI Oversight Skills
peer-review experience. doubt every paragraph.,2,Software Engineering Skills
a fundamental understanding of what the code generated from these generative ai tools is still required to ensure that it is running accurately,2,Software Engineering Skills
system architecture,2,Software Engineering Skills
multi-lingual familiarity,9,Domain Knowledge
design and analysis,9,Domain Knowledge
trying to shelve concepts in your brain for later rather vs a results-oriented approach (both might be suitable for different scenarios),4,AI Literacy
designing system architecture,2,Software Engineering Skills
firm grasp on programming patterns,3,Software Development Skills
excellent code reviewing skills,1,Code Review
iterative development skills,9,Domain Knowledge
basic understanding on llm stochasticity,9,Domain Knowledge
basic understanding on llm context engineering,9,Domain Knowledge
basic understanding on transformer attention models,9,Domain Knowledge
deep understanding of the code it produces,3,Software Development Skills
prompt engineering; critical evaluation and qa,0,Prompt Engineering
the ability to actually code without ai.,2,Software Engineering Skills
prompt creation,0,Prompt Engineering
automated testing,5,Testing Skills
clear understanding of anticipated code architecture,3,Software Development Skills
be good at programming in the first place.,3,Software Development Skills
previous-knowledge,4,AI Literacy
code review and analysis,1,Code Review
system design and architecture,2,Software Engineering Skills
scalability,4,AI Literacy
security/risk analysis,3,Software Development Skills
high attention to detail,3,Software Development Skills
enough knowledge to be able to check the generated information/code,3,Software Development Skills
and critical thinking skills to determine if using ai is the correct choice.,2,Software Engineering Skills
understanding of computer fundamentals,3,Software Development Skills
good taste,4,AI Literacy
a good foundation in software development is needed before using gai tools,3,Software Development Skills
non-proprietary and privacy respecting tools that integrate with cli editors,6,AI Oversight Skills
i would continue to avoid using generative ai for actual coding; generating test cases and updating documentation might be useful.,4,AI Literacy
self-discipline about skill development,9,Domain Knowledge
how to prompt is key,0,Prompt Engineering
a strong vocabulary and understanding of computer science in the domain in which you work.,2,Software Engineering Skills
code design,1,Code Review
numerical methods,9,Domain Knowledge
programming fundamentals,9,Domain Knowledge
understanding the limitations of ai,9,Domain Knowledge
understanding of hardware,9,Domain Knowledge
write clear pseudocode,1,Code Review
machine learning fundamentals,9,Domain Knowledge
knowing when to use the tools; critcal assessment of the results,6,AI Oversight Skills
ability to effectively communicate requirements in writting english,3,Software Development Skills
learning toolchains to add context (e.g. user docs) to the ai so they can give better answers,6,AI Oversight Skills
the ability to write good prompts and evaluate the material that ai returns for accuracy and appropriateness for the task at hand,2,Software Engineering Skills
how to organize and unionize,3,Software Development Skills
how to transition to democratic socialism,9,Domain Knowledge
debugging tool basics,9,Domain Knowledge
and design patterns,9,Domain Knowledge
detail orientation,3,Software Development Skills
test design,5,Testing Skills
conocimiento previo de ingeniería de software,7,AI Ethics and Critical Thinking
understanding the cost/benefits of its use,6,AI Oversight Skills
setting up environment and context correctly,9,Domain Knowledge
i am not interested in using it,6,AI Oversight Skills
prompt engineering and llm architecture build ( transformer module: encodio & decoding),0,Prompt Engineering
apropiada integracion con ides. pront engineering.,7,AI Ethics and Critical Thinking
deep theoretical understanding of ml/ai,9,Domain Knowledge
you need to know how to write good code in that language on your own; effective use of tests; ability to understand and review code that is generated; ability to multi-task,2,Software Engineering Skills
knowledge about your own project and your technologies,3,Software Development Skills
strategy,3,Software Development Skills
you need to be a professional software engineer first in order to get professional results out of the chatbot.,2,Software Engineering Skills
management,3,Software Development Skills
trust/ethical assurance,3,Software Development Skills
solid background in system design/architecture,2,Software Engineering Skills
breadth+depth in multiple ecosystems,9,Domain Knowledge
and critical thinking ability re selecting best tools for the job,7,AI Ethics and Critical Thinking
software patterns,2,Software Engineering Skills
software architectures,2,Software Engineering Skills
language basics,9,Domain Knowledge
some understanding of the function and limitations of llms,6,AI Oversight Skills
complete avoidance. llm-generated code is frequently non-functional,6,AI Oversight Skills
unclear,4,AI Literacy
and misunderstood by those who generate it. this ultimately generates additional work,2,Software Engineering Skills
since you now not only have poor-quality code,6,AI Oversight Skills
but also very little context for why it was designed in a particular way.,6,AI Oversight Skills
experienced in programming,3,Software Development Skills
debugging code,1,Code Review
profiling,4,AI Literacy
incremental development,9,Domain Knowledge
expertise,4,AI Literacy
review code / docs and other outputs,1,Code Review
good software dev skills to double check/guide ai,6,AI Oversight Skills
senior rse skills,4,AI Literacy
you need to know how to program,3,Software Development Skills
criticism to ai answers,7,AI Ethics and Critical Thinking
ability to digest answers to get reaqsonable information,6,AI Oversight Skills
architecture knowledge,2,Software Engineering Skills
procedural thinking,7,AI Ethics and Critical Thinking
