item,country_group,category,n,pct,N
Other activities (Actual),United Kingdom,20%,54,51.4,105
Other activities (Actual),United Kingdom,40%,19,18.1,105
Other activities (Actual),United Kingdom,60%,3,2.9,105
Other activities (Actual),United Kingdom,80%,1,1.0,105
Other activities (Actual),United States,0% (None at all),21,26.6,79
Other activities (Actual),United States,20%,50,63.3,79
Other activities (Actual),United States,40%,6,7.6,79
Other activities (Actual),United States,60%,2,2.5,79
Other activities (Desired),Germany,0% (None at all),89,57.8,154
Other activities (Desired),Germany,20%,56,36.4,154
Other activities (Desired),Germany,40%,8,5.2,154
Other activities (Desired),Germany,60%,1,0.6,154
Other activities (Desired),Netherlands,0% (None at all),22,56.4,39
Other activities (Desired),Netherlands,20%,15,38.5,39
Other activities (Desired),Netherlands,40%,2,5.1,39
Other activities (Desired),United Kingdom,0% (None at all),42,43.3,97
Other activities (Desired),United Kingdom,20%,42,43.3,97
Other activities (Desired),United Kingdom,40%,11,11.3,97
Other activities (Desired),United Kingdom,60%,1,1.0,97
Other activities (Desired),United Kingdom,80%,1,1.0,97
Other activities (Desired),United States,0% (None at all),34,47.9,71
Other activities (Desired),United States,20%,32,45.1,71
Other activities (Desired),United States,40%,4,5.6,71
Other activities (Desired),United States,100% (All my time),1,1.4,71
