token,category_llm,category_human,cluster_id,n,exclude
doktorand,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
head of science it,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
hiwi,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
i don’t even know,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,1
juniorprofessor,Researcher / Scientific Staff,Researcher / Scientific Staff,2,2,0
phd,Researcher / Scientific Staff,Researcher / Scientific Staff,2,2,0
phd candidate,Researcher / Scientific Staff,Researcher / Scientific Staff,2,3,0
phd student,Researcher / Scientific Staff,Researcher / Scientific Staff,2,4,0
professor,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
research assisntant,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
rse,Researcher / Scientific Staff,(Research) Software Engineer,2,3,0
rse and trainer,Researcher / Scientific Staff,(Research) Software Engineer,2,1,0
scientific coworker,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
scientific employee,Researcher / Scientific Staff,Researcher / Scientific Staff,2,4,0
scientific researcher,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
scientific staff,Researcher / Scientific Staff,Researcher / Scientific Staff,2,3,0
scientist,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
senior researcher,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
senior scientist,Researcher / Scientific Staff,Researcher / Scientific Staff,2,2,0
sorry,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,1
staff scientist,Researcher / Scientific Staff,Researcher / Scientific Staff,2,2,0
student assistant,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
tenure track professor,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
wiss. ma,Researcher / Scientific Staff,Researcher / Scientific Staff,2,1,0
academic researchers,Software Developer,Researcher / Scientific Staff,3,1,0
doctoral student / research associate,Software Developer,Researcher / Scientific Staff,3,1,0
miterbeiter wissenchaftler,Software Developer,Researcher / Scientific Staff,3,1,0
postdoc researcher,Software Developer,Researcher / Scientific Staff,3,1,0
postdoctoral research associate,Software Developer,Researcher / Scientific Staff,3,1,0
postdoctoral research fellow,Software Developer,Researcher / Scientific Staff,3,1,0
postdoctoral researcher,Software Developer,Researcher / Scientific Staff,3,1,0
referent für forschungsdatenmanagement,Software Developer,Data Management / Data Scientist,3,1,0
research assistant,Software Developer,Researcher / Scientific Staff,3,3,0
research associate,Software Developer,Researcher / Scientific Staff,3,4,0
research fellow,Software Developer,Researcher / Scientific Staff,3,1,0
researcher,Software Developer,Researcher / Scientific Staff,3,3,0
researcher (wissenschaftliche mitarbeiterin),Software Developer,Researcher / Scientific Staff,3,1,0
scientific staff (postdoctoral researcher),Software Developer,Researcher / Scientific Staff,3,1,0
stellvertretende abteilungsleiterin und gruppenleitung,Software Developer,Management Roles,3,1,0
technische laborleitung,Software Developer,Technical Staff,3,1,0
technischer mitarbeiter,Software Developer,Technical Staff,3,1,0
webentwickler für digitale repositorien,Software Developer,Technical Staff,3,1,0
wiss. mitarbeiter,Software Developer,Researcher / Scientific Staff,3,1,0
wissenschaflticher mitarbeiter,Software Developer,Researcher / Scientific Staff,3,1,0
wissenschaftliche hilfskraft,Software Developer,Researcher / Scientific Staff,3,2,0
wissenschaftliche mitarbeiterin,Software Developer,Researcher / Scientific Staff,3,4,0
wissenschaftlicher angestellter,Software Developer,Researcher / Scientific Staff,3,1,0
wissenschaftlicher mitarbeiter,Software Developer,Researcher / Scientific Staff,3,29,0
wissenschaftlicher mitarbeiter (researcher),Software Developer,Researcher / Scientific Staff,3,1,0
wissenschaftlicher mitarbeiter / post-doc,Software Developer,Researcher / Scientific Staff,3,1,0
wissenschaftlicher mitarbeiter:in,Software Developer,Researcher / Scientific Staff,3,1,0
wissenschaftlicher programmierer,Software Developer,Researcher / Scientific Staff,3,1,0
wissenschaftliches personal,Software Developer,Researcher / Scientific Staff,3,1,0
hpc consultant,eln & rdm Support,Technical Staff,0,1,0
post doc,eln & rdm Support,Researcher / Scientific Staff,0,1,0
post-doc,eln & rdm Support,Researcher / Scientific Staff,0,1,0
postdoc,eln & rdm Support,Researcher / Scientific Staff,0,5,0
wrap up postdoc,eln & rdm Support,Researcher / Scientific Staff,0,1,0
